Date_Vente,Produit,Quantite,Mode_Paiement,Client
2026-06-02,Robe fleurie taille M,1,cash,
2026-06-03,Jean homme taille 32,2,credit,Marie Ngo Bell
2026-06-03,T-shirt polo homme,3,mobile_money,
2026-06-04,Sac à main femme,1,credit,Paul Eto'o Mballa
2026-06-05,Chemise homme manches longues,2,cash,
2026-06-06,Ensemble bébé 0-12 mois,4,mobile_money,
2026-06-07,Veste blazer femme,1,credit,Aissatou Bello
2026-06-08,Jupe longue femme,3,cash,
2026-06-09,Chaussures baskets homme,1,mobile_money,
2026-06-10,Robe fleurie taille M,2,credit,Jean-Pierre Fotso
2026-06-11,T-shirt polo homme,5,cash,
2026-06-12,Manteau hiver enfant,1,credit,Grace Achu
2026-06-13,Jean homme taille 32,1,mobile_money,
2026-06-15,Sac à main femme,2,credit,Marie Ngo Bell
2026-06-17,Chemise homme manches longues,3,cash,
2026-06-19,Ensemble bébé 0-12 mois,2,credit,Paul Eto'o Mballa
2026-06-21,Jupe longue femme,1,mobile_money,
2026-06-24,Veste blazer femme,1,credit,Aissatou Bello
2026-06-27,Chaussures baskets homme,1,credit,Jean-Pierre Fotso
2026-06-29,T-shirt polo homme,4,cash,
